line,stage,stage_slug,altitude,depth_status,cell_path
aesthetic,1,prehension,infrared,complete,cells/aesthetic/01-prehension.md
aesthetic,2,irritability,infrared,complete,cells/aesthetic/02-irritability.md
aesthetic,3,basic-impulse,magenta,complete,cells/aesthetic/03-basic-impulse.md
aesthetic,4,emotion-complex,red,complete,cells/aesthetic/04-emotion-complex.md
aesthetic,5,sensory-motor,red,complete,cells/aesthetic/05-sensory-motor.md
aesthetic,6,nominal-rule,amber,complete,cells/aesthetic/06-nominal-rule.md
aesthetic,7,sentential-faith,amber,complete,cells/aesthetic/07-sentential-faith.md
aesthetic,8,preoperational,amber,complete,cells/aesthetic/08-preoperational.md
aesthetic,9,primary-modern,amber,complete,cells/aesthetic/09-primary-modern.md
aesthetic,10,concrete-peak,amber,complete,cells/aesthetic/10-concrete-peak.md
aesthetic,11,abstract-emerge,orange,complete,cells/aesthetic/11-abstract-emerge.md
aesthetic,12,formal-landmark,orange,complete,cells/aesthetic/12-formal-landmark.md
aesthetic,13,systematic-green,green,complete,cells/aesthetic/13-systematic-green.md
aesthetic,14,metasystematic-teal,teal,complete,cells/aesthetic/14-metasystematic-teal.md
aesthetic,15,paradigmatic-turq,turquoise,complete,cells/aesthetic/15-paradigmatic-turq.md
aesthetic,16,cross-paradigmatic,indigo,complete,cells/aesthetic/16-cross-paradigmatic.md
aesthetic,17,meta-cross-violet,violet,complete,cells/aesthetic/17-meta-cross-violet.md
civilization-axioms,1,prehension,infrared,complete,cells/civilization-axioms/01-prehension.md
civilization-axioms,2,irritability,infrared,complete,cells/civilization-axioms/02-irritability.md
civilization-axioms,3,basic-impulse,infrared,complete,cells/civilization-axioms/03-basic-impulse.md
civilization-axioms,4,emotion-complex,magenta,complete,cells/civilization-axioms/04-emotion-complex.md
civilization-axioms,5,sensory-motor,red,complete,cells/civilization-axioms/05-sensory-motor.md
civilization-axioms,6,nominal-rule,amber,complete,cells/civilization-axioms/06-nominal-rule.md
civilization-axioms,7,sentential-faith,amber,complete,cells/civilization-axioms/07-sentential-faith.md
civilization-axioms,8,preoperational,green,complete,cells/civilization-axioms/08-preoperational.md
civilization-axioms,9,primary-modern,amber,complete,cells/civilization-axioms/09-primary-modern.md
civilization-axioms,10,concrete-peak,orange,complete,cells/civilization-axioms/10-concrete-peak.md
civilization-axioms,11,abstract-emerge,orange,complete,cells/civilization-axioms/11-abstract-emerge.md
civilization-axioms,12,formal-landmark,teal,complete,cells/civilization-axioms/12-formal-landmark.md
civilization-axioms,13,systematic-green,teal,complete,cells/civilization-axioms/13-systematic-green.md
civilization-axioms,14,metasystematic-teal,turquoise,complete,cells/civilization-axioms/14-metasystematic-teal.md
civilization-axioms,15,paradigmatic-turq,turquoise,complete,cells/civilization-axioms/15-paradigmatic-turq.md
civilization-axioms,16,cross-paradigmatic,violet,complete,cells/civilization-axioms/16-cross-paradigmatic.md
civilization-axioms,17,meta-cross-violet,violet,complete,cells/civilization-axioms/17-meta-cross-violet.md
cognitive,1,prehension,infrared,complete,cells/cognitive/01-prehension.md
cognitive,2,irritability,infrared,complete,cells/cognitive/02-irritability.md
cognitive,3,basic-impulse,infrared,complete,cells/cognitive/03-basic-impulse.md
cognitive,4,emotion-complex,magenta,complete,cells/cognitive/04-emotion-complex.md
cognitive,5,sensory-motor,red,complete,cells/cognitive/05-sensory-motor.md
cognitive,6,nominal-rule,amber,complete,cells/cognitive/06-nominal-rule.md
cognitive,7,sentential-faith,amber,complete,cells/cognitive/07-sentential-faith.md
cognitive,8,preoperational,green,complete,cells/cognitive/08-preoperational.md
cognitive,9,primary-modern,amber,complete,cells/cognitive/09-primary-modern.md
cognitive,10,concrete-peak,orange,complete,cells/cognitive/10-concrete-peak.md
cognitive,11,abstract-emerge,orange,complete,cells/cognitive/11-abstract-emerge.md
cognitive,12,formal-landmark,teal,complete,cells/cognitive/12-formal-landmark.md
cognitive,13,systematic-green,teal,complete,cells/cognitive/13-systematic-green.md
cognitive,14,metasystematic-teal,turquoise,complete,cells/cognitive/14-metasystematic-teal.md
cognitive,15,paradigmatic-turq,turquoise,complete,cells/cognitive/15-paradigmatic-turq.md
cognitive,16,cross-paradigmatic,violet,complete,cells/cognitive/16-cross-paradigmatic.md
cognitive,17,meta-cross-violet,violet,complete,cells/cognitive/17-meta-cross-violet.md
collective-intelligence,1,prehension,infrared,complete,cells/collective-intelligence/01-prehension.md
collective-intelligence,2,irritability,infrared,complete,cells/collective-intelligence/02-irritability.md
collective-intelligence,3,basic-impulse,infrared,complete,cells/collective-intelligence/03-basic-impulse.md
collective-intelligence,4,emotion-complex,magenta,complete,cells/collective-intelligence/04-emotion-complex.md
collective-intelligence,5,sensory-motor,red,complete,cells/collective-intelligence/05-sensory-motor.md
collective-intelligence,6,nominal-rule,amber,complete,cells/collective-intelligence/06-nominal-rule.md
collective-intelligence,7,sentential-faith,amber,complete,cells/collective-intelligence/07-sentential-faith.md
collective-intelligence,8,preoperational,green,complete,cells/collective-intelligence/08-preoperational.md
collective-intelligence,9,primary-modern,amber,complete,cells/collective-intelligence/09-primary-modern.md
