line_slug,kind,quadrant,status,matrix_cells_required,matrix_depth
aesthetic,culture,LL,Draft,17,stub
civilization-axioms,system,LR,Draft,17,stub
cognitive,individual-intelligence,UL,Ratified,17,partial
collective-intelligence,culture,LL/LR,Draft,17,stub
computational,individual-intelligence,UR/LR,Draft,17,stub
consciousness-state,consciousness,UL,Draft,17,stub
craft-skill,individual-intelligence,UR,Draft,17,stub
culture,culture,LL,Draft,17,partial
developmental,individual-intelligence,UL,Draft,17,stub
digital-tool,individual-intelligence,UR,Draft,17,stub
economic-systems,system,LR,Draft,17,stub
education,system,LR,Draft,17,stub
emotional-interpersonal,individual-intelligence,UL/LL,Ratified,17,partial
environmental,system,LR,Draft,17,stub
epistemic,individual-intelligence,UL/UR,Draft,17,stub
ethics-relational,culture,LL,Draft,17,stub
framework-complexity,consciousness,all,Draft,17,stub
gender-studies,culture,LL,Draft,17,stub
governance,system,LR,Draft,17,stub
health,system,LR,Draft,17,complete
hierarchical-complexity,system,LR,Draft,17,stub
intrapersonal,individual-intelligence,UL,Ratified,17,partial
justice,system,LR,Draft,17,stub
kinesthetic,individual-intelligence,UR,Draft,17,stub
knowledge-systems,collective-system,UL/UR/LL/LR,Draft,17,partial
linguistic,individual-intelligence,UL/LL,Draft,17,stub
mathematical,individual-intelligence,UL,Draft,17,stub
meaning,culture,LL,Draft,17,stub
media,culture,LL,Draft,17,stub
moral,individual-intelligence,UL/LL,Ratified,17,partial
mythos,culture,LL,Draft,17,stub
narrative,culture,LL,Draft,17,stub
needs,individual-intelligence,UL/UR,Draft,17,partial
physical-vitality,individual-intelligence,UR,Draft,17,stub
pragmatic,individual-intelligence,UR,Draft,17,stub
regenerative-design,system,LR,Draft,17,stub
religion-statistical,culture,LL,Draft,17,stub
resource-systems,system,LR,Draft,17,stub
security,system,LR,Draft,17,complete
social-systems,system,LR,Draft,17,stub
somatic,individual-intelligence,UR,Ratified,17,partial
spiritual,individual-intelligence,UL,Ratified,17,partial
storytelling,culture,LL,Draft,17,stub
strategic,individual-intelligence,UR,Draft,17,stub
system,system,LR,Draft,17,partial
technology,system,LR,Draft,17,stub
values,individual-intelligence,UL/LL,Draft,17,partial
willpower,individual-intelligence,UL/UR,Ratified,17,partial
worldview,culture,LL,Draft,17,stub
